title,authors,categories,published_year,average_rating,num_pages,ratings_count
Rage of angels,Sidney Sheldon,Fiction,1993.0,3.93,512.0,29532.0
Warhost of Vastmark,Janny Wurts,Fiction,1995.0,4.03,522.0,2966.0
Taken at the Flood,Agatha Christie,Fiction,2002.0,3.71,352.0,8852.0
The Yiddish Policemen's Union,Michael Chabon,Fiction,2007.0,3.7,414.0,51219.0
Tropic of Cancer,Henry Miller,Fiction,2005.0,3.69,336.0,709.0
The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,1994.0,3.65,169.0,6836.0
Heart Songs and Other Stories,Annie Proulx,Fiction,1995.0,3.93,203.0,1822.0
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986.0,4.26,499.0,106.0
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001.0,4.05,256.0,27463.0
The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004.0,4.27,390.0,72982.0
Going Postal,Terry Pratchett,Fiction,2004.0,4.38,377.0,924.0
She Went All the Way,Meg Cabot,Fiction,2002.0,3.69,357.0,12297.0
Island,Aldous Huxley,Fiction,1962.0,3.85,354.0,17583.0
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002.0,3.76,640.0,42096.0
The Terminal Man,Michael Crichton,Fiction,2002.0,3.36,266.0,20825.0
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,2003.0,4.06,502.0,5681.0
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002.0,4.29,64.0,2452.0
Identity,Milan Kundera,Fiction,1998.0,3.68,176.0,260.0
The thief of always,Clive Barker,Fiction,1992.0,4.19,225.0,22123.0
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981.0,4.33,104.0,10010.0
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963.0,4.15,112.0,5191.0
Moonspinners,Mary Stewart,Fiction,2003.0,4.03,400.0,5868.0
Worlds Enough & Time,Dan Simmons,Fiction,2002.0,3.75,272.0,923.0
Caesar,Colleen McCullough,Fiction,2003.0,4.36,928.0,5825.0
The Forever War,Joe Haldeman,Fiction,2003.0,4.15,278.0,103375.0
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003.0,4.14,64.0,2040.0
The Secret Sister,Elizabeth Lowell,Fiction,2005.0,3.65,416.0,1164.0
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005.0,4.25,64.0,7678.0
Whirlpool,Elizabeth Lowell,Fiction,2006.0,3.78,448.0,1115.0
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004.0,4.21,64.0,3069.0
Cryptonomicon,Neal Stephenson,Fiction,2002.0,4.25,1139.0,80225.0
Anansi Boys,Neil Gaiman,Fiction,2006.0,4.02,387.0,153485.0
Fragile Things,Neil Gaiman,Fiction,2006.0,4.01,360.0,43210.0
Size 12 Is Not Fat,Meg Cabot,Fiction,2006.0,3.74,345.0,73592.0
Warrior of the Light,Paulo Coelho,Fiction,2004.0,3.7,142.0,21578.0
The Devil and Miss Prym,Paulo Coelho,Fiction,2006.0,3.6,205.0,46113.0
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003.0,4.06,417.0,547207.0
The Andromeda Strain,Michael Crichton,Fiction,2003.0,3.89,327.0,192637.0
Congo,Michael Crichton,Fiction,2003.0,3.58,442.0,140223.0
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006.0,3.78,213.0,7733.0
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003.0,4.41,96.0,256.0
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005.0,3.74,240.0,76.0
The Wicked Day,Mary Stewart,Fiction,2003.0,4.09,417.0,9875.0
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004.0,4.19,48.0,5012.0
Gold,Isaac Asimov,Fiction,2003.0,3.99,416.0,2393.0
Fluke,Christopher Moore,Fiction,2004.0,3.75,321.0,34773.0
Lord of Light,Roger Zelazny,Fiction,2004.0,4.1,296.0,22530.0
Dead Witch Walking,Kim Harrison,Fiction,2004.0,4.04,416.0,97105.0
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,2005.0,4.26,453.0,53112.0
Sabriel (adult),Garth Nix,Fiction,2004.0,4.17,311.0,1296.0
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,2005.0,4.3,385.0,481.0
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,2006.0,4.2,375.0,204.0
Metro Girl,Janet Evanovich,Fiction,2005.0,3.62,374.0,28414.0
Motor Mouth,Janet Evanovich,Fiction,2006.0,3.67,312.0,21885.0
Mystic River,Dennis Lehane,Fiction,2003.0,4.18,416.0,105317.0
Great Short Works of Herman Melville,Herman Melville,Fiction,2004.0,4.02,512.0,401.0
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,2006.0,4.03,64.0,280.0
Eleven Minutes,Paulo Coelho,Fiction,2005.0,3.69,273.0,114826.0
A Dirty Job,Christopher Moore,Fiction,2006.0,4.07,387.0,88016.0
Quicksilver,Neal Stephenson,Fiction,2004.0,3.93,927.0,29981.0
Thanksgiving,Janet Evanovich,Fiction,2006.0,3.6,228.0,10334.0
Love Overboard,Janet Evanovich,Fiction,2005.0,3.65,244.0,11223.0
Back to the Bedroom,Janet Evanovich,Fiction,2005.0,3.67,234.0,9839.0
The Rocky Road to Romance,Janet Evanovich,Fiction,2004.0,3.67,249.0,9470.0
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,2004.0,4.17,316.0,30018.0
